,player_type,amount,rank,team,year
89,Active Roster,"$103,930,260",13th,new-york-mets,2015
90,Injured List,"$5,551,249",21st,new-york-mets,2015
91,Suspended/Restricted,"$311,967",1st,new-york-mets,2015
92,Retained,"$129,200",29th,new-york-mets,2015
93,Minor,"$476,251",12th,new-york-mets,2015
94,Total Adjusted Payroll Allocations,"$110,398,927",19th,new-york-mets,2015
95,Active Roster,"$187,465,727",2nd,new-york-yankees,2015
96,Injured List,"$24,415,379",5th,new-york-yankees,2015
97,Reserve/Suspended,"$507,500",2nd,new-york-yankees,2015
98,Retained,"$8,459,561",21st,new-york-yankees,2015
99,Minor,"$394,492",16th,new-york-yankees,2015
100,Total Adjusted Payroll Allocations,"$221,242,659",2nd,new-york-yankees,2015
101,Active Roster,"$52,800,331",25th,philadelphia-phillies,2015
102,Injured List,"$33,290,177",3rd,philadelphia-phillies,2015
103,Retained,"$51,719,664",2nd,philadelphia-phillies,2015
104,Minor,"$3,912,467",2nd,philadelphia-phillies,2015
105,Total Adjusted Payroll Allocations,"$141,722,639",9th,philadelphia-phillies,2015
106,Active Roster,"$81,904,030",19th,pittsburgh-pirates,2015
107,Injured List,"$14,318,868",11th,pittsburgh-pirates,2015
108,Retained,"$2,759,768",26th,pittsburgh-pirates,2015
109,Minor,"$452,940",13th,pittsburgh-pirates,2015
110,Total Adjusted Payroll Allocations,"$99,435,606",23rd,pittsburgh-pirates,2015
111,Active Roster,"$93,212,255",18th,san-diego-padres,2015
112,Injured List,"$11,029,819",15th,san-diego-padres,2015
113,Retained,"$3,267,222",24th,san-diego-padres,2015
114,Minor,"$405,976",15th,san-diego-padres,2015
115,Total Adjusted Payroll Allocations,"$107,915,272",20th,san-diego-padres,2015
116,Active Roster,"$133,109,385",4th,san-francisco-giants,2015
117,Injured List,"$38,423,837",2nd,san-francisco-giants,2015
118,Retained,"$7,522,089",22nd,san-francisco-giants,2015
119,Minor,"$1,108,319",7th,san-francisco-giants,2015
120,Total Adjusted Payroll Allocations,"$180,163,630",4th,san-francisco-giants,2015
121,Active Roster,"$95,874,782",15th,seattle-mariners,2015
122,Injured List,"$1,383,169",24th,seattle-mariners,2015
123,Retained,"$25,921,321",9th,seattle-mariners,2015
124,Minor,"$2,866,201",3rd,seattle-mariners,2015
125,Total Adjusted Payroll Allocations,"$126,045,473",14th,seattle-mariners,2015
126,Active Roster,"$128,814,787",5th,st-louis-cardinals,2015
127,Injured List,"$3,195,000",22nd,st-louis-cardinals,2015
128,Minor,"$169,164",23rd,st-louis-cardinals,2015
129,Total Adjusted Payroll Allocations,"$132,178,951",12th,st-louis-cardinals,2015
130,Active Roster,"$52,092,948",26th,tampa-bay-rays,2015
131,Injured List,"$8,440,963",18th,tampa-bay-rays,2015
132,Retained,"$12,164,597",17th,tampa-bay-rays,2015
133,Minor,"$543,044",10th,tampa-bay-rays,2015
134,Total Adjusted Payroll Allocations,"$73,241,552",29th,tampa-bay-rays,2015
135,Active Roster,"$125,715,876",6th,texas-rangers,2015
136,Injured List,"$13,135,760",12th,texas-rangers,2015
137,Retained,"$10,018,970",18th,texas-rangers,2015
138,Minor,"$415,001",14th,texas-rangers,2015
139,Total Adjusted Payroll Allocations,"$149,285,607",7th,texas-rangers,2015
140,Active Roster,"$106,426,104",11th,toronto-blue-jays,2015
141,Injured List,"$6,382,500",19th,toronto-blue-jays,2015
142,Retained,"$25,214,964",10th,toronto-blue-jays,2015
143,Minor,"$286,096",19th,toronto-blue-jays,2015
144,Total Adjusted Payroll Allocations,"$138,309,664",10th,toronto-blue-jays,2015
145,Active Roster,"$146,009,803",3rd,washington-nationals,2015
146,Injured List,"$17,556,549",9th,washington-nationals,2015
147,Retained,"$2,000,000",28th,washington-nationals,2015
148,Minor,"$88,743",27th,washington-nationals,2015
149,Total Adjusted Payroll Allocations,"$165,655,095",5th,washington-nationals,2015
150,Active Roster,"$78,823,003",18th,arizona-diamondbacks,2016
151,Injured List,"$1,051,200",28th,arizona-diamondbacks,2016
152,Retained,"$17,455,091",12th,arizona-diamondbacks,2016
153,Minor,"$545,188",17th,arizona-diamondbacks,2016
154,Total Adjusted Payroll Allocations,"$97,874,482",22nd,arizona-diamondbacks,2016
155,Active Roster,"$28,084,351",29th,athletics,2016
156,Injured List,"$19,754,414",8th,athletics,2016
157,Retained,"$35,098,597",6th,athletics,2016
158,Minor,"$171,926",23rd,athletics,2016
159,Total Adjusted Payroll Allocations,"$83,109,288",27th,athletics,2016
160,Active Roster,"$46,676,093",27th,atlanta-braves,2016
161,Injured List,"$8,116,832",18th,atlanta-braves,2016
162,Retained,"$41,248,677",5th,atlanta-braves,2016
163,Minor,"$244,024",20th,atlanta-braves,2016
164,Total Adjusted Payroll Allocations,"$95,778,126",24th,atlanta-braves,2016
165,Active Roster,"$148,307,663",7th,baltimore-orioles,2016
166,Injured List,"$2,650,245",24th,baltimore-orioles,2016
