,player_type,amount,rank,team,year
442,Injured List,"$11,351,707",13th,washington-nationals,2017
443,Retained,"$5,952,690",28th,washington-nationals,2017
444,Minor,"$394,605",21st,washington-nationals,2017
445,Total Adjusted Payroll Allocations,"$182,238,854",6th,washington-nationals,2017
446,Active Roster,"$107,901,628",12th,arizona-diamondbacks,2018
447,Injured List,"$14,124,025",12th,arizona-diamondbacks,2018
448,Retained,"$5,630,585",26th,arizona-diamondbacks,2018
449,Minor,"$14,068,359",1st,arizona-diamondbacks,2018
450,Total Adjusted Payroll Allocations,"$141,724,597",15th,arizona-diamondbacks,2018
451,Active Roster,"$61,525,657",25th,athletics,2018
452,Injured List,"$4,972,604",24th,athletics,2018
453,Retained,"$10,118,631",21st,athletics,2018
454,Minor,"$1,056,690",11th,athletics,2018
455,Total Adjusted Payroll Allocations,"$77,673,582",28th,athletics,2018
456,Active Roster,"$73,767,565",21st,atlanta-braves,2018
457,Injured List,"$13,299,094",14th,atlanta-braves,2018
458,Retained,"$42,392,955",4th,atlanta-braves,2018
459,Minor,"$279,833",27th,atlanta-braves,2018
460,Total Adjusted Payroll Allocations,"$129,739,447",20th,atlanta-braves,2018
461,Active Roster,"$69,637,987",22nd,baltimore-orioles,2018
462,Injured List,"$12,650,000",16th,baltimore-orioles,2018
463,Reserve/Suspended,"$3,000,000",2nd,baltimore-orioles,2018
464,Retained,"$43,550,980",3rd,baltimore-orioles,2018
465,Minor,"$1,574,640",6th,baltimore-orioles,2018
466,Total Adjusted Payroll Allocations,"$130,413,607",18th,baltimore-orioles,2018
467,Active Roster,"$167,955,780",1st,boston-red-sox,2018
468,Injured List,"$18,074,000",10th,boston-red-sox,2018
469,Retained,"$41,755,860",5th,boston-red-sox,2018
470,Minor,"$158,220",29th,boston-red-sox,2018
471,Total Adjusted Payroll Allocations,"$227,398,860",1st,boston-red-sox,2018
472,Active Roster,"$152,092,957",4th,chicago-cubs,2018
473,Injured List,"$37,451,220",5th,chicago-cubs,2018
474,Reserve/Suspended,"$3,200,000",1st,chicago-cubs,2018
475,Retained,"$1,216,894",30th,chicago-cubs,2018
476,Minor,"$298,862",26th,chicago-cubs,2018
477,Total Adjusted Payroll Allocations,"$194,259,933",4th,chicago-cubs,2018
478,Active Roster,"$57,261,542",26th,chicago-white-sox,2018
479,Injured List,"$5,920,130",22nd,chicago-white-sox,2018
480,Retained,"$7,681,442",24th,chicago-white-sox,2018
481,Minor,"$976,694",13th,chicago-white-sox,2018
482,Total Adjusted Payroll Allocations,"$71,839,808",29th,chicago-white-sox,2018
483,Active Roster,"$82,511,299",19th,cincinnati-reds,2018
484,Injured List,"$1,344,890",28th,cincinnati-reds,2018
485,Retained,"$15,242,487",19th,cincinnati-reds,2018
486,Minor,"$1,207,092",9th,cincinnati-reds,2018
487,Total Adjusted Payroll Allocations,"$100,305,768",25th,cincinnati-reds,2018
488,Active Roster,"$123,470,545",9th,cleveland-guardians,2018
489,Injured List,"$12,836,166",15th,cleveland-guardians,2018
490,Retained,"$5,222,548",27th,cleveland-guardians,2018
491,Minor,"$1,075,444",10th,cleveland-guardians,2018
492,Total Adjusted Payroll Allocations,"$142,604,703",14th,cleveland-guardians,2018
493,Active Roster,"$131,213,168",7th,colorado-rockies,2018
494,Injured List,"$7,545,000",18th,colorado-rockies,2018
495,Retained,"$4,442,400",28th,colorado-rockies,2018
496,Minor,"$767,976",16th,colorado-rockies,2018
497,Total Adjusted Payroll Allocations,"$143,968,544",13th,colorado-rockies,2018
498,Active Roster,"$67,047,516",24th,detroit-tigers,2018
499,Injured List,"$37,720,870",4th,detroit-tigers,2018
500,Retained,"$24,437,359",13th,detroit-tigers,2018
501,Minor,"$1,789,604",5th,detroit-tigers,2018
502,Total Adjusted Payroll Allocations,"$130,995,349",17th,detroit-tigers,2018
503,Active Roster,"$158,720,510",3rd,houston-astros,2018
504,Injured List,"$556,400",29th,houston-astros,2018
505,Retained,"$4,027,264",29th,houston-astros,2018
506,Minor,"$420,042",22nd,houston-astros,2018
507,Total Adjusted Payroll Allocations,"$163,724,216",8th,houston-astros,2018
508,Active Roster,"$83,618,228",17th,kansas-city-royals,2018
509,Injured List,"$7,189,167",20th,kansas-city-royals,2018
510,Retained,"$37,811,905",7th,kansas-city-royals,2018
511,Minor,"$1,325,521",7th,kansas-city-royals,2018
512,Total Adjusted Payroll Allocations,"$129,944,821",19th,kansas-city-royals,2018
513,Active Roster,"$91,914,083",15th,los-angeles-angels,2018
514,Injured List,"$57,532,566",2nd,los-angeles-angels,2018
515,Retained,"$24,127,380",14th,los-angeles-angels,2018
516,Minor,"$143,570",30th,los-angeles-angels,2018
517,Total Adjusted Payroll Allocations,"$173,717,599",7th,los-angeles-angels,2018
518,Active Roster,"$160,502,596",2nd,los-angeles-dodgers,2018
519,Injured List,"$3,908,850",26th,los-angeles-dodgers,2018
520,Retained,"$30,541,679",11th,los-angeles-dodgers,2018
521,Minor,"$4,628,920",3rd,los-angeles-dodgers,2018
522,Total Adjusted Payroll Allocations,"$199,582,045",3rd,los-angeles-dodgers,2018
523,Active Roster,"$43,028,514",29th,miami-marlins,2018
524,Injured List,"$15,407,490",11th,miami-marlins,2018
525,Retained,"$31,020,460",10th,miami-marlins,2018
526,Minor,"$2,204,036",4th,miami-marlins,2018
527,Total Adjusted Payroll Allocations,"$91,660,500",26th,miami-marlins,2018
528,Active Roster,"$89,888,839",16th,milwaukee-brewers,2018
529,Injured List,"$7,321,500",19th,milwaukee-brewers,2018
530,Retained,"$11,383,150",20th,milwaukee-brewers,2018
531,Minor,"$388,527",23rd,milwaukee-brewers,2018
532,Total Adjusted Payroll Allocations,"$108,982,016",22nd,milwaukee-brewers,2018
533,Active Roster,"$56,283,693",27th,minnesota-twins,2018
534,Injured List,"$29,213,890",6th,minnesota-twins,2018
535,Retained,"$29,264,527",12th,minnesota-twins,2018
536,Minor,"$776,730",15th,minnesota-twins,2018
537,Total Adjusted Payroll Allocations,"$115,538,840",21st,minnesota-twins,2018
538,Active Roster,"$82,655,203",18th,new-york-mets,2018
539,Injured List,"$49,831,436",3rd,new-york-mets,2018
540,Reserve/Suspended,"$1,792,000",3rd,new-york-mets,2018
541,Retained,"$15,314,261",18th,new-york-mets,2018
542,Minor,"$595,087",18th,new-york-mets,2018
543,Total Adjusted Payroll Allocations,"$150,187,987",12th,new-york-mets,2018
544,Active Roster,"$148,010,829",5th,new-york-yankees,2018
545,Injured List,"$22,568,376",8th,new-york-yankees,2018
546,Retained,"$9,249,414",23rd,new-york-yankees,2018
547,Minor,"$269,532",28th,new-york-yankees,2018
548,Total Adjusted Payroll Allocations,"$180,098,151",6th,new-york-yankees,2018
549,Active Roster,"$97,016,347",13th,philadelphia-phillies,2018
550,Retained,"$6,936,684",25th,philadelphia-phillies,2018
551,Minor,"$344,440",24th,philadelphia-phillies,2018
552,Total Adjusted Payroll Allocations,"$104,297,471",23rd,philadelphia-phillies,2018
553,Active Roster,"$67,576,415",23rd,pittsburgh-pirates,2018
554,Injured List,"$4,670,500",25th,pittsburgh-pirates,2018
555,Retained,"$17,492,114",17th,pittsburgh-pirates,2018
556,Minor,"$1,286,832",8th,pittsburgh-pirates,2018
557,Total Adjusted Payroll Allocations,"$91,025,861",27th,pittsburgh-pirates,2018
558,Active Roster,"$50,099,477",28th,san-diego-padres,2018
559,Injured List,"$5,702,300",23rd,san-diego-padres,2018
560,Reserve/Suspended,"$545,000",4th,san-diego-padres,2018
561,Retained,"$44,479,430",2nd,san-diego-padres,2018
562,Minor,"$934,608",14th,san-diego-padres,2018
563,Total Adjusted Payroll Allocations,"$101,760,815",24th,san-diego-padres,2018
564,Active Roster,"$119,689,218",10th,san-francisco-giants,2018
565,Injured List,"$64,341,827",1st,san-francisco-giants,2018
566,Retained,"$21,136,053",15th,san-francisco-giants,2018
567,Minor,"$498,250",20th,san-francisco-giants,2018
568,Total Adjusted Payroll Allocations,"$205,665,348",2nd,san-francisco-giants,2018
569,Active Roster,"$136,839,663",6th,seattle-mariners,2018
570,Injured List,"$13,496,812",13th,seattle-mariners,2018
571,Retained,"$9,361,340",22nd,seattle-mariners,2018
572,Minor,"$546,012",19th,seattle-mariners,2018
573,Total Adjusted Payroll Allocations,"$160,243,827",10th,seattle-mariners,2018
574,Active Roster,"$113,741,329",11th,st-louis-cardinals,2018
575,Injured List,"$27,345,600",7th,st-louis-cardinals,2018
576,Retained,"$20,907,798",16th,st-louis-cardinals,2018
577,Minor,"$339,584",25th,st-louis-cardinals,2018
578,Total Adjusted Payroll Allocations,"$162,334,311",9th,st-louis-cardinals,2018
579,Active Roster,"$25,668,988",30th,tampa-bay-rays,2018
580,Injured List,"$2,213,706",27th,tampa-bay-rays,2018
581,Retained,"$36,028,993",9th,tampa-bay-rays,2018
582,Minor,"$4,983,450",2nd,tampa-bay-rays,2018
583,Total Adjusted Payroll Allocations,"$68,895,137",30th,tampa-bay-rays,2018
584,Active Roster,"$96,239,016",14th,texas-rangers,2018
585,Injured List,"$6,683,451",21st,texas-rangers,2018
586,Retained,"$36,936,251",8th,texas-rangers,2018
587,Minor,"$766,300",17th,texas-rangers,2018
588,Total Adjusted Payroll Allocations,"$140,625,018",16th,texas-rangers,2018
589,Active Roster,"$81,293,347",20th,toronto-blue-jays,2018
590,Injured List,"$20,481,474",9th,toronto-blue-jays,2018
591,Retained,"$48,740,616",1st,toronto-blue-jays,2018
592,Minor,"$430,710",21st,toronto-blue-jays,2018
593,Total Adjusted Payroll Allocations,"$150,946,147",11th,toronto-blue-jays,2018
594,Active Roster,"$130,197,979",8th,washington-nationals,2018
595,Injured List,"$8,999,485",17th,washington-nationals,2018
596,Retained,"$41,161,720",6th,washington-nationals,2018
597,Minor,"$1,023,425",12th,washington-nationals,2018
598,Total Adjusted Payroll Allocations,"$181,382,609",5th,washington-nationals,2018
599,Active Roster,"$65,040,742",26th,arizona-diamondbacks,2019
600,Injured List,"$11,699,600",13th,arizona-diamondbacks,2019
601,Retained,"$26,307,583",7th,arizona-diamondbacks,2019
602,Minor,"$15,624,452",1st,arizona-diamondbacks,2019
603,Total Adjusted Payroll Allocations,"$118,672,377",19th,arizona-diamondbacks,2019
604,Active Roster,"$83,509,128",19th,athletics,2019
605,Injured List,"$622,664",29th,athletics,2019
606,Retained,"$13,870,505",22nd,athletics,2019
607,Minor,"$642,234",13th,athletics,2019
608,Total Adjusted Payroll Allocations,"$98,644,531",25th,athletics,2019
609,Active Roster,"$117,758,736",11th,atlanta-braves,2019
610,Injured List,"$8,328,689",20th,atlanta-braves,2019
611,Retained,"$17,791,906",18th,atlanta-braves,2019
612,Minor,"$68,632",28th,atlanta-braves,2019
613,Total Adjusted Payroll Allocations,"$143,947,963",15th,atlanta-braves,2019
614,Active Roster,"$52,804,601",28th,baltimore-orioles,2019
615,Injured List,"$9,822,272",17th,baltimore-orioles,2019
616,Retained,"$8,886,476",25th,baltimore-orioles,2019
617,Minor,"$1,815,309",7th,baltimore-orioles,2019
618,Total Adjusted Payroll Allocations,"$73,328,658",28th,baltimore-orioles,2019
619,Active Roster,"$165,856,221",3rd,boston-red-sox,2019
620,Injured List,"$37,583,783",3rd,boston-red-sox,2019
621,Retained,"$25,887,800",9th,boston-red-sox,2019
622,Minor,"$394,076",16th,boston-red-sox,2019
623,Total Adjusted Payroll Allocations,"$229,166,880",1st,boston-red-sox,2019
624,Active Roster,"$197,673,216",1st,chicago-cubs,2019
625,Injured List,"$11,093,615",14th,chicago-cubs,2019
626,Retained,"$8,275,227",26th,chicago-cubs,2019
627,Minor,"$4,538,027",5th,chicago-cubs,2019
628,Total Adjusted Payroll Allocations,"$221,580,085",3rd,chicago-cubs,2019
629,Active Roster,"$67,330,431",23rd,chicago-white-sox,2019
630,Injured List,"$10,267,750",16th,chicago-white-sox,2019
631,Retained,"$13,080,697",23rd,chicago-white-sox,2019
632,Minor,"$692,323",12th,chicago-white-sox,2019
633,Total Adjusted Payroll Allocations,"$91,371,201",26th,chicago-white-sox,2019
634,Active Roster,"$84,680,306",17th,cincinnati-reds,2019
635,Injured List,"$580,000",30th,cincinnati-reds,2019
636,Retained,"$43,074,191",3rd,cincinnati-reds,2019
637,Minor,"$357,072",18th,cincinnati-reds,2019
638,Total Adjusted Payroll Allocations,"$128,691,569",17th,cincinnati-reds,2019
639,Active Roster,"$83,738,008",18th,cleveland-guardians,2019
640,Injured List,"$6,588,308",22nd,cleveland-guardians,2019
641,Retained,"$16,165,338",20th,cleveland-guardians,2019
642,Minor,"$347,039",19th,cleveland-guardians,2019
643,Total Adjusted Payroll Allocations,"$106,838,693",22nd,cleveland-guardians,2019
644,Active Roster,"$120,506,596",9th,colorado-rockies,2019
645,Injured List,"$12,420,904",10th,colorado-rockies,2019
646,Retained,"$17,868,240",17th,colorado-rockies,2019
647,Minor,"$4,607,773",4th,colorado-rockies,2019
648,Total Adjusted Payroll Allocations,"$155,403,513",11th,colorado-rockies,2019
649,Active Roster,"$72,709,746",21st,detroit-tigers,2019
650,Injured List,"$14,738,806",9th,detroit-tigers,2019
651,Retained,"$26,148,511",8th,detroit-tigers,2019
652,Minor,"$1,034,074",8th,detroit-tigers,2019
653,Total Adjusted Payroll Allocations,"$114,631,137",20th,detroit-tigers,2019
654,Active Roster,"$153,370,215",6th,houston-astros,2019
655,Injured List,"$11,713,065",12th,houston-astros,2019
656,Retained,"$1,777,467",30th,houston-astros,2019
657,Minor,"$277,512",21st,houston-astros,2019
658,Total Adjusted Payroll Allocations,"$167,138,259",8th,houston-astros,2019
659,Active Roster,"$68,625,332",22nd,kansas-city-royals,2019
660,Injured List,"$11,895,598",11th,kansas-city-royals,2019
661,Retained,"$23,207,385",13th,kansas-city-royals,2019
662,Minor,"$244,688",23rd,kansas-city-royals,2019
663,Total Adjusted Payroll Allocations,"$103,973,003",23rd,kansas-city-royals,2019
664,Active Roster,"$118,016,581",10th,los-angeles-angels,2019
665,Injured List,"$15,868,930",8th,los-angeles-angels,2019
666,Retained,"$23,964,754",12th,los-angeles-angels,2019
667,Minor,"$149,200",26th,los-angeles-angels,2019
668,Total Adjusted Payroll Allocations,"$157,999,465",10th,los-angeles-angels,2019
669,Active Roster,"$157,394,622",4th,los-angeles-dodgers,2019
670,Injured List,"$1,341,835",27th,los-angeles-dodgers,2019
671,Suspended/Restricted,"$555,000",4th,los-angeles-dodgers,2019
672,Retained,"$41,972,880",4th,los-angeles-dodgers,2019
673,Minor,"$5,736,477",2nd,los-angeles-dodgers,2019
674,Total Adjusted Payroll Allocations,"$207,000,814",4th,los-angeles-dodgers,2019
675,Active Roster,"$66,602,760",24th,miami-marlins,2019
676,Injured List,"$3,001,903",24th,miami-marlins,2019
677,Retained,"$4,968,020",28th,miami-marlins,2019
678,Minor,"$1,023,588",9th,miami-marlins,2019
679,Total Adjusted Payroll Allocations,"$75,596,271",27th,miami-marlins,2019
680,Active Roster,"$107,189,797",12th,milwaukee-brewers,2019
681,Injured List,"$8,283,400",21st,milwaukee-brewers,2019
682,Retained,"$20,248,718",14th,milwaukee-brewers,2019
683,Minor,"$167,104",24th,milwaukee-brewers,2019
684,Total Adjusted Payroll Allocations,"$135,889,019",16th,milwaukee-brewers,2019
685,Active Roster,"$96,059,595",14th,minnesota-twins,2019
686,Injured List,"$1,773,872",25th,minnesota-twins,2019
687,Reserve/Suspended,"$8,000,000",1st,minnesota-twins,2019
688,Retained,"$19,156,231",16th,minnesota-twins,2019
689,Minor,"$266,305",22nd,minnesota-twins,2019
690,Total Adjusted Payroll Allocations,"$125,256,003",18th,minnesota-twins,2019
691,Active Roster,"$104,490,573",13th,new-york-mets,2019
692,Injured List,"$16,519,542",7th,new-york-mets,2019
693,Retained,"$25,220,967",11th,new-york-mets,2019
694,Minor,"$307,152",20th,new-york-mets,2019
695,Total Adjusted Payroll Allocations,"$146,538,234",13th,new-york-mets,2019
696,Active Roster,"$171,935,047",2nd,new-york-yankees,2019
697,Injured List,"$42,325,463",2nd,new-york-yankees,2019
698,Suspended/Restricted,"$577,500",3rd,new-york-yankees,2019
699,Retained,"$7,772,219",27th,new-york-yankees,2019
700,Minor,"$408,808",15th,new-york-yankees,2019
701,Total Adjusted Payroll Allocations,"$223,019,037",2nd,new-york-yankees,2019
702,Active Roster,"$82,703,582",20th,philadelphia-phillies,2019
703,Injured List,"$67,270,903",1st,philadelphia-phillies,2019
704,Suspended/Restricted,"$5,350,000",1st,philadelphia-phillies,2019
705,Retained,"$3,500,513",29th,philadelphia-phillies,2019
706,Minor,"$151,754",25th,philadelphia-phillies,2019
707,Total Adjusted Payroll Allocations,"$158,976,752",9th,philadelphia-phillies,2019
708,Active Roster,"$27,674,108",30th,pittsburgh-pirates,2019
709,Injured List,"$19,571,272",6th,pittsburgh-pirates,2019
710,Suspended/Restricted,"$4,500,000",2nd,pittsburgh-pirates,2019
711,Retained,"$20,053,143",15th,pittsburgh-pirates,2019
712,Minor,"$377,951",17th,pittsburgh-pirates,2019
713,Total Adjusted Payroll Allocations,"$72,176,474",29th,pittsburgh-pirates,2019
714,Active Roster,"$65,446,794",25th,san-diego-padres,2019
715,Injured List,"$10,746,013",15th,san-diego-padres,2019
716,Retained,"$25,368,956",10th,san-diego-padres,2019
717,Minor,"$2,138,027",6th,san-diego-padres,2019
718,Total Adjusted Payroll Allocations,"$103,699,790",24th,san-diego-padres,2019
719,Active Roster,"$137,019,224",7th,san-francisco-giants,2019
720,Injured List,"$9,768,564",18th,san-francisco-giants,2019
721,Retained,"$31,241,902",6th,san-francisco-giants,2019
722,Minor,"$24,420",30th,san-francisco-giants,2019
723,Total Adjusted Payroll Allocations,"$178,054,110",5th,san-francisco-giants,2019
724,Active Roster,"$84,703,863",16th,seattle-mariners,2019
725,Injured List,"$5,638,913",23rd,seattle-mariners,2019
726,Reserve/Suspended,"$1,800,000",2nd,seattle-mariners,2019
727,Retained,"$51,230,092",2nd,seattle-mariners,2019
728,Minor,"$1,015,441",11th,seattle-mariners,2019
729,Total Adjusted Payroll Allocations,"$144,388,309",14th,seattle-mariners,2019
730,Active Roster,"$135,268,456",8th,st-louis-cardinals,2019
731,Injured List,"$21,794,083",5th,st-louis-cardinals,2019
732,Retained,"$16,427,751",19th,st-louis-cardinals,2019
733,Minor,"$54,133",29th,st-louis-cardinals,2019
734,Total Adjusted Payroll Allocations,"$173,544,423",6th,st-louis-cardinals,2019
735,Active Roster,"$54,345,374",27th,tampa-bay-rays,2019
736,Injured List,"$644,520",28th,tampa-bay-rays,2019
737,Retained,"$9,084,388",24th,tampa-bay-rays,2019
738,Minor,"$104,440",27th,tampa-bay-rays,2019
739,Total Adjusted Payroll Allocations,"$64,178,722",30th,tampa-bay-rays,2019
740,Active Roster,"$85,904,339",15th,texas-rangers,2019
741,Injured List,"$26,592,526",4th,texas-rangers,2019
742,Retained,"$31,252,401",5th,texas-rangers,2019
743,Minor,"$4,789,500",3rd,texas-rangers,2019
744,Total Adjusted Payroll Allocations,"$148,538,766",12th,texas-rangers,2019
745,Active Roster,"$36,637,976",29th,toronto-blue-jays,2019
746,Injured List,"$8,512,071",19th,toronto-blue-jays,2019
747,Retained,"$65,351,162",1st,toronto-blue-jays,2019
748,Minor,"$584,930",14th,toronto-blue-jays,2019
749,Total Adjusted Payroll Allocations,"$111,086,139",21st,toronto-blue-jays,2019
750,Active Roster,"$155,857,858",5th,washington-nationals,2019
751,Injured List,"$1,369,684",26th,washington-nationals,2019
752,Retained,"$14,062,625",21st,washington-nationals,2019
753,Minor,"$1,017,641",10th,washington-nationals,2019
754,Total Adjusted Payroll Allocations,"$172,307,808",7th,washington-nationals,2019
755,Active Roster,"$20,283,697",27th,arizona-diamondbacks,2020
756,Exempt List,"$3,000,000",6th,arizona-diamondbacks,2020
757,Injured List,"$1,589,593",23rd,arizona-diamondbacks,2020
758,Reserve/Suspended,"$208,704",3rd,arizona-diamondbacks,2020
759,Retained,"$40,016,446",1st,arizona-diamondbacks,2020
760,Minor,"$500,312",25th,arizona-diamondbacks,2020
761,Total Adjusted Payroll Allocations,"$65,598,752",14th,arizona-diamondbacks,2020
762,Active Roster,"$35,283,875",17th,athletics,2020
763,Injured List,"$902,038",26th,athletics,2020
764,Retained,"$113,148",30th,athletics,2020
765,Minor,"$421,117",26th,athletics,2020
766,Total Adjusted Payroll Allocations,"$36,720,178",25th,athletics,2020
767,Active Roster,"$50,458,292",10th,atlanta-braves,2020
768,Exempt List,"$1,000,000",10th,atlanta-braves,2020
769,Injured List,"$7,255,497",12th,atlanta-braves,2020
770,Retained,"$1,000,284",28th,atlanta-braves,2020
771,Minor,"$838,598",14th,atlanta-braves,2020
772,Total Adjusted Payroll Allocations,"$60,552,671",16th,atlanta-braves,2020
773,Active Roster,"$10,252,278",30th,baltimore-orioles,2020
774,Exempt List,"$296,296",11th,baltimore-orioles,2020
775,Injured List,"$11,102,531",9th,baltimore-orioles,2020
776,Retained,"$1,264,595",27th,baltimore-orioles,2020
777,Minor,"$562,935",22nd,baltimore-orioles,2020
778,Total Adjusted Payroll Allocations,"$23,478,635",30th,baltimore-orioles,2020
779,Active Roster,"$36,071,047",16th,boston-red-sox,2020
780,Exempt List,"$222,222",12th,boston-red-sox,2020
781,Injured List,"$16,644,224",5th,boston-red-sox,2020
782,Retained,"$15,553,004",7th,boston-red-sox,2020
783,Minor,"$15,719,893",1st,boston-red-sox,2020
784,Total Adjusted Payroll Allocations,"$84,210,390",4th,boston-red-sox,2020
785,Active Roster,"$66,116,504",3rd,chicago-cubs,2020
786,Injured List,"$6,448,626",15th,chicago-cubs,2020
787,Retained,"$12,464,463",12th,chicago-cubs,2020
788,Minor,"$983,245",10th,chicago-cubs,2020
789,Total Adjusted Payroll Allocations,"$86,012,838",3rd,chicago-cubs,2020
790,Active Roster,"$43,034,329",14th,chicago-white-sox,2020
791,Exempt List,"$208,704",14th,chicago-white-sox,2020
792,Injured List,"$1,819,815",22nd,chicago-white-sox,2020
793,Retained,"$7,812,642",15th,chicago-white-sox,2020
794,Minor,"$789,761",16th,chicago-white-sox,2020
795,Total Adjusted Payroll Allocations,"$53,665,251",20th,chicago-white-sox,2020
796,Active Roster,"$51,854,326",8th,cincinnati-reds,2020
797,Injured List,"$658,696",27th,cincinnati-reds,2020
798,Retained,"$1,922,138",25th,cincinnati-reds,2020
799,Minor,"$711,841",19th,cincinnati-reds,2020
800,Total Adjusted Payroll Allocations,"$55,147,001",18th,cincinnati-reds,2020
801,Active Roster,"$34,471,070",18th,cleveland-guardians,2020
802,Injured List,"$209,630",30th,cleveland-guardians,2020
803,Reserve/Suspended,"$209,185",2nd,cleveland-guardians,2020
804,Retained,"$3,269,241",21st,cleveland-guardians,2020
805,Minor,"$1,139,981",7th,cleveland-guardians,2020
806,Total Adjusted Payroll Allocations,"$39,299,107",24th,cleveland-guardians,2020
807,Active Roster,"$23,940,328",25th,colorado-rockies,2020
808,Exempt List,"$5,555,556",4th,colorado-rockies,2020
809,Injured List,"$17,205,744",3rd,colorado-rockies,2020
810,Retained,"$30,851,852",2nd,colorado-rockies,2020
811,Minor,"$958,757",11th,colorado-rockies,2020
812,Total Adjusted Payroll Allocations,"$67,808,533",12th,colorado-rockies,2020
813,Active Roster,"$29,636,694",21st,detroit-tigers,2020
814,Injured List,"$6,108,631",16th,detroit-tigers,2020
815,Retained,"$6,488,226",18th,detroit-tigers,2020
816,Minor,"$931,329",12th,detroit-tigers,2020
817,Total Adjusted Payroll Allocations,"$43,164,880",22nd,detroit-tigers,2020
818,Active Roster,"$61,406,160",4th,houston-astros,2020
819,Exempt List,"$1,481,481",7th,houston-astros,2020
820,Injured List,"$18,763,334",2nd,houston-astros,2020
821,Retained,"$250,000",29th,houston-astros,2020
822,Minor,"$754,130",18th,houston-astros,2020
823,Total Adjusted Payroll Allocations,"$82,655,105",5th,houston-astros,2020
824,Active Roster,"$25,320,148",24th,kansas-city-royals,2020
825,Injured List,"$7,094,043",13th,kansas-city-royals,2020
826,Retained,"$1,464,114",26th,kansas-city-royals,2020
827,Minor,"$1,056,391",9th,kansas-city-royals,2020
828,Total Adjusted Payroll Allocations,"$34,934,696",26th,kansas-city-royals,2020
829,Active Roster,"$56,821,306",6th,los-angeles-angels,2020
830,Exempt List,"$4,757,308",5th,los-angeles-angels,2020
831,Injured List,"$509,650",28th,los-angeles-angels,2020
832,Retained,"$4,356,290",20th,los-angeles-angels,2020
833,Minor,"$596,339",20th,los-angeles-angels,2020
834,Total Adjusted Payroll Allocations,"$67,040,893",13th,los-angeles-angels,2020
835,Active Roster,"$94,165,961",1st,los-angeles-dodgers,2020
836,Exempt List,"$5,925,926",3rd,los-angeles-dodgers,2020
837,Injured List,"$493,889",29th,los-angeles-dodgers,2020
838,Suspended/Restricted,"$208,704",3rd,los-angeles-dodgers,2020
839,Retained,"$16,917,530",6th,los-angeles-dodgers,2020
840,Minor,"$7,007,070",3rd,los-angeles-dodgers,2020
841,Total Adjusted Payroll Allocations,"$124,719,080",1st,los-angeles-dodgers,2020
842,Active Roster,"$17,388,599",28th,miami-marlins,2020
843,Injured List,"$2,897,429",20th,miami-marlins,2020
844,Retained,"$12,335,262",13th,miami-marlins,2020
845,Minor,"$1,280,630",6th,miami-marlins,2020
846,Total Adjusted Payroll Allocations,"$33,901,920",27th,miami-marlins,2020
847,Active Roster,"$28,464,819",22nd,milwaukee-brewers,2020
848,Exempt List,"$5,925,926",2nd,milwaukee-brewers,2020
849,Injured List,"$1,203,704",25th,milwaukee-brewers,2020
850,Retained,"$4,484,938",19th,milwaukee-brewers,2020
851,Minor,"$1,354,699",5th,milwaukee-brewers,2020
852,Total Adjusted Payroll Allocations,"$41,434,086",23rd,milwaukee-brewers,2020
853,Active Roster,"$49,057,558",11th,minnesota-twins,2020
854,Injured List,"$6,876,058",14th,minnesota-twins,2020
855,Retained,"$7,313,300",16th,minnesota-twins,2020
856,Minor,"$840,180",13th,minnesota-twins,2020
857,Total Adjusted Payroll Allocations,"$59,679,689",17th,minnesota-twins,2020
858,Active Roster,"$46,360,406",12th,new-york-mets,2020
859,Exempt List,"$1,393,035",8th,new-york-mets,2020
860,Injured List,"$15,399,881",6th,new-york-mets,2020
861,Retained,"$18,418,790",5th,new-york-mets,2020
862,Minor,"$373,486",27th,new-york-mets,2020
863,Total Adjusted Payroll Allocations,"$81,945,598",6th,new-york-mets,2020
864,Active Roster,"$77,215,694",2nd,new-york-yankees,2020
865,Injured List,"$9,920,725",10th,new-york-yankees,2020
866,Retained,"$23,982,977",4th,new-york-yankees,2020
867,Minor,"$819,685",15th,new-york-yankees,2020
868,Total Adjusted Payroll Allocations,"$111,939,081",2nd,new-york-yankees,2020
869,Active Roster,"$57,105,401",5th,philadelphia-phillies,2020
870,Injured List,"$13,236,891",7th,philadelphia-phillies,2020
871,Retained,"$2,662,073",22nd,philadelphia-phillies,2020
872,Minor,"$539,182",23rd,philadelphia-phillies,2020
873,Total Adjusted Payroll Allocations,"$73,543,547",8th,philadelphia-phillies,2020
874,Active Roster,"$12,738,842",29th,pittsburgh-pirates,2020
875,Injured List,"$8,467,312",11th,pittsburgh-pirates,2020
876,Reserve/Suspended,"$2,444,444",1st,pittsburgh-pirates,2020
877,Retained,"$2,437,508",23rd,pittsburgh-pirates,2020
878,Minor,"$199,360",28th,pittsburgh-pirates,2020
879,Total Adjusted Payroll Allocations,"$25,343,022",29th,pittsburgh-pirates,2020
880,Active Roster,"$54,293,958",7th,san-diego-padres,2020
881,Injured List,"$3,531,020",18th,san-diego-padres,2020
882,Retained,"$14,471,215",10th,san-diego-padres,2020
883,Minor,"$565,421",21st,san-diego-padres,2020
884,Total Adjusted Payroll Allocations,"$72,861,614",11th,san-diego-padres,2020
885,Active Roster,"$40,562,214",15th,san-francisco-giants,2020
886,Exempt List,"$8,703,703",1st,san-francisco-giants,2020
